title,author,length
Raw,Misty Vixen,Length: 8 hrs and 1 min
Rookie Mistake,"Anna Zabo,L.A. Witt",Length: 16 hrs and 36 mins
The Price of Time,Edward Chancellor,Length: 15 hrs and 7 mins
KTF Part 1,"Jason Anspach,Nick Cole",Length: Not Yet Known
Paul Harvey Radio Shows,Paul Harvey,Length: 15 hrs and 40 mins
Shadowheist,"Terry Mancour,Emily Burch Harris",Length: Not Yet Known
My Story,Marilyn Monroe,Length: 4 hrs and 34 mins
Wisdom from Your Spirit Guides,James Van Praagh,Length: 4 hrs and 31 mins
On One Condition,K. Bromberg,Length: 8 hrs and 18 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
The War Girls,V. S. Alexander,Length: 16 hrs and 24 mins
The Never King,Nikki St. Crowe,Length: 4 hrs and 35 mins
Lupercal's War,"Graham McNeill,Aaron Dembski-Bowden,Nick Kyme,Rob Sanders,John French,Chris Wraight,Chris Forrester,James Swallow,Matthew Farrer,Guy Haley,Dan Abnett,Gav Thorpe",Length: 17 hrs and 47 mins
James Acaster's Guide to Quitting Social Media,James Acaster,Length: 6 hrs and 54 mins
The Complete Age of Embers Series (Books 1-5),Ryan Schow,Length: 49 hrs and 14 mins
There's Just One Problem...,Brian Gewirtz,Length: 9 hrs and 20 mins
Taking Stock,Jordan Grumet MD,Length: 5 hrs and 51 mins
"Dirtbag, Massachusetts",Isaac Fitzgerald,Length: 7 hrs and 11 mins
Tearing Us Apart,"Ryan T. Anderson,Alexandra DeSanctis",Length: 8 hrs and 15 mins
The Shifter's Hoard 4,Dante King,Length: 12 hrs and 20 mins
"Oh, Great! I Discovered How to Cultivate a Farmer in 52 Easy Steps",Benjamin Kerei,Length: 15 hrs and 45 mins
The Quitter’s Manifesto,"Tim Rhode,Pat Hiban",Length: 2 hrs and 9 mins
A Shattered Silver Crown,Kai Butler,Length: 13 hrs and 49 mins
The Big Lie,Jonathan Lemire,Length: 10 hrs and 20 mins
The 6:20 Man,David Baldacci,Length: 11 hrs and 48 mins
Reborn,D.I. Freed,Length: 23 hrs and 51 mins
Where the Sky Begins,Rhys Bowen,Length: 11 hrs and 11 mins
Twisted Love,Ana Huang,Length: 10 hrs and 41 mins
Storm Echo,Nalini Singh,Length: 11 hrs and 14 mins
The Dragon's Bride,Katee Robert,Length: 6 hrs and 36 mins
Brutal Vows,J.T. Geissinger,Length: 10 hrs and 27 mins
Elvis and Me,Priscilla Beaulieu Presley,Length: 10 hrs and 30 mins
The Pyramid of Lies,Duncan Mavin,Length: 10 hrs and 59 mins
Bad Moon Academy,Rory Miles,Length: 21 hrs and 9 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
Chiwaukee Nights,Cale Plamann,Length: 14 hrs and 35 mins
Signal Moon,Kate Quinn,Length: 1 hr and 22 mins
The Inn on Harmony Island,Anne-Marie Meyer,Length: 7 hrs and 13 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins
King of Battle and Blood,Scarlett St. Clair,Length: 12 hrs and 26 mins
Swing,Ashleigh Renard,Length: 9 hrs and 13 mins
The Leadership Secrets of Nick Saban,John Talty,Length: 8 hrs and 27 mins
The Win-Win Wealth Strategy (1st Edition),Tom Wheelwright,Length: 5 hrs and 12 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
Buried Mage,Michael Taggart,Length: 13 hrs and 10 mins
The Extended Mind,Annie Murphy Paul,Length: 11 hrs and 26 mins
Reckoning,Catherine Coulter,Length: 11 hrs and 50 mins
2000 Mules,Dinesh D'Souza,Length: 6 hrs and 22 mins
"Boldly, Nobly, and Independent: 1893-1955",The Church of Jesus Christ of Latter-day Saints,Length: 16 hrs and 39 mins
Fatal Felons,Elle Thorpe,Length: 8 hrs and 30 mins
Punk 57,Penelope Douglas,Length: 10 hrs and 7 mins
Fire in the Streets,Douglas R. Groothius,Length: 6 hrs and 37 mins
When the Corn Is Waist High,Jeremy Scott,Length: 8 hrs and 49 mins
Lead Like It Matters,Craig Groeschel,Length: 7 hrs and 35 mins
Resilient,John Eldredge,Length: 6 hrs and 41 mins
Freezing Order,Bill Browder,Length: 10 hrs and 29 mins
The Bodyguard,Katherine Center,Length: 9 hrs and 44 mins
The Divider,"Peter Baker,Susan Glasser",Length: 26 hrs and 30 mins
Making the Call,Amanda Shelley,Length: 9 hrs and 14 mins
They Want to Kill Americans,Malcolm Nance,Length: 10 hrs and 30 mins
The Sunken Chase,Cap Daniels,Length: 8 hrs and 54 mins
Captain of the Guard,Anna Hackett,Length: 6 hrs and 51 mins
Break Free,R.A. Smyth,Length: 11 hrs and 58 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
Convergence,Craig Alanson,Length: 16 hrs and 56 mins
The Raven Academy Box Set,A. Caprice,Length: 16 hrs and 42 mins
"God, Sex, and Your Marriage",Dr. Juli Slattery,Length: 4 hrs and 59 mins
Murder at the Priory Hotel,Merryn Allingham,Length: 7 hrs and 35 mins
No Love Lost,LynDee Walker,Length: 10 hrs and 8 mins
Phoebe's Tale: From His Shadow,Garon Whited,Length: 22 hrs and 42 mins
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins
The Destructionists,Dana Milbank,Length: 11 hrs and 58 mins
Dark Whispers from Afar,I. T. Lucas,Length: 8 hrs and 14 mins
The Refiner,Kristy Marie,Length: 8 hrs and 50 mins
Age of Iron,Jez Cajiao,Length: 20 hrs and 50 mins
My Killer Vacation,Tessa Bailey,Length: 8 hrs and 57 mins
The King,Nana Malone,Length: 11 hrs and 48 mins
Rogue Force,Jack Mars,Length: 8 hrs and 20 mins
The Cabinet of Dr. Leng,"Douglas Preston,Lincoln Child",Length: 13 hrs and 30 mins
The Catch Me If You Can,Jessica Nabongo,Length: 12 hrs and 25 mins
Map of Sorrows,Stephanie Hudson,Length: 9 hrs and 2 mins
12 Notes,Quincy Jones,Length: 5 hrs and 7 mins
Yellow,Aron Beauregard,Length: 5 hrs and 7 mins
The Black,Paul E. Cooley,Length: 8 hrs and 12 mins
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
Fall from Grace,Hunter Blain,Length: 11 hrs and 56 mins
Traction,Gino Wickman,Length: 6 hrs and 56 mins
Love Lessons,Sarina Bowen,Length: 8 hrs and 11 mins
Social Sanity in an Insta World,"Sarah Eekhoff Zylstra,Melissa Kruger,Jen Wilkin,Emily Jensen,Laura Wifler,Ruth Chou Simons,Gretchen Saffles,Stephanie Greer,Ana Ávila",Length: 2 hrs and 58 mins
Sun Crossed,Elizabeth Briggs,Length: 7 hrs and 59 mins
A Dance with the Fae Prince,Elise Kova,Length: 12 hrs and 57 mins
The Words,Ashley Jade,Length: 16 hrs and 50 mins
La guía práctica para ser feliz [The Practical Guide to Be Happy],Elán,Length: 1 hr and 57 mins
The Only Investment Guide You'll Ever Need: Revised Edition,Andrew Tobias,Length: 10 hrs and 52 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
The Alchemist,Paulo Coelho,Length: 4 hrs
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
Grit,Angela Duckworth,Length: 9 hrs and 22 mins
Monster Girl Collection: Volume 1,Sebastian Guzman,Length: 12 hrs and 46 mins
Legends & Lattes,Travis Baldree,Length: 6 hrs and 22 mins
Praise,Sara Cate,Length: 10 hrs and 37 mins
Sister Friends Forever,Kimberla Lawson Roby,Length: 8 hrs and 47 mins
Autodisciplina diaria y Procrastinación 2 audiolibros en 1 [Daily Self-Discipline and Procrastination 2 Audiobooks in 1],Happy Academy,Length: 4 hrs and 26 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
Release Me,Jayda Marx,Length: 5 hrs and 45 mins
Shattered,"James Patterson,James O. Born",Length: 8 hrs and 3 mins
Rains of Liscor,pirateaba,Length: 33 hrs and 52 mins
Vindicta,Steven Konkoly,Length: 10 hrs and 1 min
The Lady and the Orc,Finley Fenn,Length: 14 hrs and 20 mins
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
The Killings at Badger’s Drift,Caroline Graham,Length: 8 hrs and 22 mins
Traveling in the Spirit Made Simple,Praying Medic,Length: 8 hrs and 26 mins
In the Pines,Kendra Elliot,Length: 8 hrs and 51 mins
